sample_id,longitude,latitude,year_of_sampling
FMS24726v2,-72.2078598,42.508422,2013
GF4S01992b,18.848083,68.330444,2008
GF3S02344a,122.4315,50.9892,2017
FMS11074v2,26.433,58.1833,2012
GF4S21637b,22.8584,58.98545,2015
GF3S02382a,121.1959,50.9034,2017
FMS06210v3,101.22928,21.98676,2013
GF3S01493a,8.375228997,46.56841099,2017
N2031,146.919987,-34.346187,
GF4T571otu,42.7,43.09,2015
FMS16BI1251v2,138.666971,-34.691187,2016
GF4S17819b,-83.08076,35.58786,2013
GF4S20720b,27.300752,57.438436,2015
GF4S21640b,22.33186,58.92065,2015
FMSA8F1001v2,-83.5,35,2012
S006234,-96.602712,39.233533,2014
GF4S13165b,4.4035,50.7472,2019
FMS23239v2,-122.61,54.35,2008
GF4T150otu,145.32,-6.2,2011
FMS12377v2,9.305009907,48.49235467,2011
FMS16BI0049v2,149.0076,-35.881,2014
FMS17325v2,-2.345141,39.127509,2010
GF4S17648b,138.8039,35.94627,2014
GF4S03851b,101.016,24.533,2015
GF4S19262b,13.87,57.84653703,2016
FMS25297v2,22.41,66.58,2014
GF4S20615b,26.666538,58.011861,2015
GF4S12607b,126.7282834,33.4780278,2015
N1013,-83.96,35.84,2014
FMS25261v2,15.29,63.18,2014
GF4S10859b,-1.32,51.77,2014
GF4S10815b,5.89,45.11,2014
GF4T1650otu,13.04,47.58,2018
GF3S05121a,-84.16,10.27,2015
S008948,17.846592,65.954818,2009
FMS16BI1827v2,150.7354,-33.6213,2015
GF4S21125b,23.73995447,58.99756104,2016
GF4S21610b,23.173,58.609,2015
GF4T792otu,-71.47,-40.14,2012
GF4S21870b,14.1815497,49.7775758,2017
FMS20344v2,24.17,61.51,2011
GF3S00691a,-2.9683,37.0371,2014
GF3S03438a,116.49,28.21,2015
GF4S03920b,100.167,27.167,2015
GF4S21483b,27.352,57.9389,2013
GF4S12602b,126.7282834,33.4780278,2015
GF3S08429b,7.416666667,60.55,
FMS00461v3,13.259722,48.40417,2014
GF4S17670b,138.80341,35.9195,2014
GF4S19769b,24.14617,56.56989,2019
GF4T1115otu,23.47,70.11,2020
FMS16BI0363v2,140.7273,-33.97274,2013
FMS25001v2,14.08,60.94,2014
FMS23567v2,-126.31,52.32,2008
GF4S02653b,13.95939293,52.88145553,2011
GF4S19303b,14.26,56.39203678,2016
N0757,117.908,29.124,2011
GF4T1251otu,28.01,-19.1,2013
GF4S17733b,138.81926,35.91549,2014
FMS00665v3,13.243611,48.30722,2014
GF4S19952b,27.30979,58.2704,2011
GF4T1394otu,-65.59,-30.63,2014
FMS16BI0131v2,138.6038,-33.9142,2013
FMS17658v2,98.38333333,37.26666667,2011
GF4S11376b,-112.6686,60.1361,2015
FMS16BI1037v2,143.92897,-39.72931,2013
GF4S02511b,10.43294888,50.99809149,2011
GF3S03448a,125.24,43.93,2015
GF3S01366a,24.57019757,59.00724985,2016
GF4S01202b,119.9383056,36.61855556,2015
GF3S02185a,108.45,33.43333333,2014
GF3S01508a,8.374815015,46.56944197,2017
S000623,12.51,3.35357,2011
GF4S19755b,24.075478,56.56412,2019
FMS22790v2,-122.61,54.35,2008
GF4S21784b,22.54025,58.2844,2016
S001658,23.31667,58.55,2011
GF4T901otu,8.81,39.27,2019
FMS22731v2,-89.41,49.07,2011
FMS24109v2,124.9,41.85,2013
GF4S19969b,27.32624,58.27872,2011
GF4S17396b,11.06,47.44,2016
S00D550,21.7,61.7,2011
FMS26010v2,21.98974,58.26431,2012
GF4S16716b,15.8,60.9666667,2011
FMS02376v3,29.58333333,67.7666667,2013
S000504,133.67668,43.49187,2010
FMS16BI0490v2,133.24855,-25.70963333,2011
GF4S20680b,22.214235,58.115619,2015
S000495,-149.5992,68.6232,2012
GF3S05250a,-61.750452,47.46191,2011
GF4S16738b,21.31598,69.51748,2013
FMS15541v2,146.643614,-41.674283,2012
FMS11743v2,-61.752028,47.475074,2011
GF4S14534b,13.3378267,49.16345875,2015
GF4S21514b,13.7624794,49.857965,2017
FMS17294v2,-2.900725,40.068228,2006
FMS12387v2,10.23937826,51.26771983,2011
FMS16BI1149v2,149.01165,-35.8748166,2014
GF4S20867b,26.436552,58.714839,2016
GF4S10882b,-1.32,51.77,2014
FMS25138v2,15.7,63.31,2014
S000176,5.372778,51.125833,2009
S005898,5.263889,51.236111,2011
GF4S03614b,100.167,27.167,2015
S008886,17.715826,66.140629,2009
GF4T1374otu,153.13,-28.46,2014
GF3S06764a,128.463275,38.032124,2018
FMS08023v3a,138.8177222,35.9173889,2016
FMS11758v2,-61.746572,47.465424,2011
GF4T1219otu,27.66,-11.48,2012
FMS17312v2,-1.784601,37.726728,2010
GF4S03575b,101.016,24.533,2015
GF4S03906b,100.167,27.167,2015
S000155,5.372778,51.125833,2009
S00D503,27.32377,58.27797,2011
FMS16BI1191v2,149.0076,-35.881,2014
FMS24644v2,-74.009257,41.419898,2013
GF4S20737b,25.303503,59.380334,2015
GF4S04051b,100.167,27.167,2015
GF4S19967b,27.33501,58.28426,2011
GF4S02824b,100.167,27.167,2015
GF4S02501b,9.378308438,48.37909578,2011
GF3S02070a,115.4333333,39.96666667,2014
FMS16BI1888v2,150.72258,-33.60885,2015
GF4T528otu,38.93,8.89,2019
GF4S03243b,100.167,27.167,2015
GF4S14498b,16.65280849,49.25627461,2017
GF4S12262b,-0.860988785,39.57932373,2014
FMS21754v2,10.311413,51.271362,2012
FMS00327v3,14.373611,48.41361,2014
N1528,8.195221697,56.29494445,2014
FMS22933v2,-120.78,39.26,2011
FMS24947v2,14.42,61.48,2014
FMS25088v2,14.56,61.42,2014
FMS20320v2,24.17,61.51,2011
GF4T613otu,26.47,57.67,2013
GF4T1029otu,90.66,30.58,2019
GF4S04100b,101.016,24.533,2015
FMS20287v2,24.17,61.51,2011
GF4S15909b,-149.53333,68.61667,2012
FMS25405v2,22.53,66.58,2014
GF3S05238a,-61.737702,47.479141,2011
GF4T1052otu,100.15,20.07,2020
FMS00248v3,14.974722,46.25306,2013
FMS16BI1837v2,150.73693,-33.61008,2015
GF4S20225b,26.280924,57.720133,2015
FMS26556v2,21.94149,58.26765,2012
N0567,117.907,29.122,2011
GF4S12801b,-76.3255,44.567667,2016
GF4T672otu,18.38,68.42,2014
GF4T464otu,-42.47,-22.64,2018
FMS08158v3a,114.6906034,27.3713588,2015
FMS24790v2,24.70361111,68.4877778,2011
GF4S14152b,-106.6975128,34.31578341,2013
FMS17593v2,96.35,33.26666667,2011
GF3S05830a,14.70868677,48.66555302,2015
FMS16BI0573v2,150.7568768,-35.12809248,2012
GF4S21525b,14.4377764,49.0531314,2017
GF4S20537b,22.784287,58.84069,2015
GF4S19537b,122.0841667,51.7947222,2021
N0814,117.908,29.124,2011
GF4S21100b,24.30017741,58.95934694,2016
GF4S19834b,26.564057,58.405732,2017
N1797,12.45141795,54.96752392,2014
GF3S04546a,25.799686,61.026764,2019
GF4S20501b,25.635892,59.026903,2015
FMS11768v2,-61.767544,47.463891,2011
FMS25947v2,22.38666,58.32899,2012
