sample_id,longitude,latitude,year_of_sampling
S1984,-64.185656,-31.560563,2015
S1165,108.9805556,18.44638889,2018
S5570,-118.60254,53.87838,2016
S6557,-155.3046194,19.8330333,2017
S2794,19.923892,60.344658,2015
S6734,-155.3046194,19.8330333,2017
S5892,-117.325814,53.42042705,2016
S4265,-155.3251139,19.82215833,2017
S6546,5.894444444,49.62361111,2018
S2905,117.71903,36.94669,2015
S1356,-155.3170028,19.8208167,2017
S1263,115.71,29.28,2018
S3738,-155.3099972,19.8326083,2017
S1533,-113.35,48.4666667,NA_
S2561,103.4687,35.4489,2010
S4931,-73.37,45.72,2011
S1044,3.01889,39.83495,2018
S2812,-64.18572,-31.560756,2015
S5335,120.8943,46.7175,2010
S5599,-2.833333,37.4,2011
S1449,112.53,23.17,2015
S7296,-116.593305,54.20218352,2016
S4375,-155.3099972,19.8326083,2017
S1725,46.99,35.42833333,1970
S6729,-155.3261611,19.8219194,2017
S1463,115.50656,33.29347,2015
S5613,-117.327002,53.41285736,2016
S2119,9.460072222,48.4587139,2011
S1784,29.19826667,-26.00506667,2017
S3989,-155.3102889,19.8328028,2017
S6314,-118.665309,53.99518206,2016
S5058,111.8846156,26.7558386,2014
S7710,27.2624,58.2986,2009
S4693,-116.966739,53.32204872,2016
S1297,112.29,35.2,2016
S4226,107.41,35.12,2013
S3974,-155.3102889,19.8328028,2017
S1867,4.99034,50.8875,2018
S5725,19.800544,60.334267,2015
S5396,-155.3046194,19.8330333,2017
S3589,34.375167,-18.9413833,2014
S4832,117.4289,40.8484,2010
S5871,-155.3261611,19.8219194,2017
S1997,108.9766667,18.46111111,2018
S6334,-119.99912,54.66892,2016
S3497,-155.3176528,19.8207917,2017
S2482,-155.3263889,19.82154722,2017
S1800,29.19635,-26.00758333,2017
S3452,9.460072222,48.4587139,2011
S5817,9.460072222,48.4587139,2011
S6363,-118.061871,54.56130614,2016
S7325,-113.35,48.4666667,NA_
S4585,-155.3046194,19.8333267,2017
S6417,-117.327002,53.41285736,2016
S1553,-58.3762139,-34.65759167,2013
S1604,105.911,36.4494,2010
S1942,108.066667,34.283333,2015
S4765,30.09194444,0.799166667,2018
S5867,-155.3159722,19.8209611,2017
S2572,102.8264,36.353,2010
S4123,-155.3251139,19.82215833,2017
S5841,4.96049,50.8624,2018
S1085,-6.716797222,4.763541667,2012
S5232,19.540511,60.218039,2015
S7678,-119.99912,54.66892,2016
S1477,-73.37,45.72,2011
S6278,-116.966739,53.32204872,2016
S1188,33.53972222,44.56944444,2018
S4616,119.5153,43.86,2010
S5811,-119.680605,54.81207452,2016
S1462,113.34479,34.88979,2015
S3996,4.99042,50.88739,2018
S3790,-155.3102889,19.8328028,2017
S2356,9.460072222,48.4587139,2011
S4973,-155.3159722,19.8209611,2017
S4100,-117.970426,54.58351057,2016
S4674,-155.3099972,19.8326083,2017
S7145,-155.3263889,19.82154722,2017
S5048,-113.35,48.4666667,NA_
S3970,105.5963889,20.34888889,2012
S6994,-155.3251139,19.82215833,2017
S3243,-155.3070028,19.8329472,2017
S1464,117.63278,36.95022,2015
S2915,19.540517,60.217981,2015
S2647,112.53,23.17,2015
S3207,34.22525,-19.0067333,2014
S1135,83.10833333,54.66305556,2017
S5446,-73.37,45.72,2011
S3014,9.460072222,48.4587139,2011
S2809,108.066667,34.283333,2015
S5916,9.460072222,48.4587139,2011
S7681,-73.37,45.72,2011
S5932,-155.3046194,19.8333267,2017
S918,164.8688889,-20.63944444,2014
S2546,-60.08805556,5.435555556,2012
S3136,-73.37,45.72,2011
S6403,-117.725821,53.9446358,2016
S4198,110.2791667,19.9025,2018
S3276,34.375167,-18.9413833,2014
S6793,-155.3046194,19.8333267,2017
